"","country","year","pop","continent","lifeExp","gdpPercap"
"80","Austria",1987,7578903,"Europe",74.94,23687.82607
"81","Austria",1992,7914969,"Europe",76.04,27042.01868
"82","Austria",1997,8069876,"Europe",77.51,29095.92066
"83","Austria",2002,8148312,"Europe",78.98,32417.60769
"84","Austria",2007,8199783,"Europe",79.829,36126.4927
"85","Bahrain",1952,120447,"Asia",50.939,9867.084765
"86","Bahrain",1957,138655,"Asia",53.832,11635.79945
"87","Bahrain",1962,171863,"Asia",56.923,12753.27514
"88","Bahrain",1967,202182,"Asia",59.923,14804.6727
"89","Bahrain",1972,230800,"Asia",63.3,18268.65839
"90","Bahrain",1977,297410,"Asia",65.593,19340.10196
"91","Bahrain",1982,377967,"Asia",69.052,19211.14731
"92","Bahrain",1987,454612,"Asia",70.75,18524.02406
"93","Bahrain",1992,529491,"Asia",72.601,19035.57917
"94","Bahrain",1997,598561,"Asia",73.925,20292.01679
"95","Bahrain",2002,656397,"Asia",74.795,23403.55927
"96","Bahrain",2007,708573,"Asia",75.635,29796.04834
"97","Bangladesh",1952,46886859,"Asia",37.484,684.2441716
"98","Bangladesh",1957,51365468,"Asia",39.348,661.6374577
"99","Bangladesh",1962,56839289,"Asia",41.216,686.3415538
"100","Bangladesh",1967,62821884,"Asia",43.453,721.1860862
"101","Bangladesh",1972,70759295,"Asia",45.252,630.2336265
"102","Bangladesh",1977,80428306,"Asia",46.923,659.8772322
"103","Bangladesh",1982,93074406,"Asia",50.009,676.9818656
"104","Bangladesh",1987,103764241,"Asia",52.819,751.9794035
"105","Bangladesh",1992,113704579,"Asia",56.018,837.8101643
"106","Bangladesh",1997,123315288,"Asia",59.412,972.7700352
"107","Bangladesh",2002,135656790,"Asia",62.013,1136.39043
"108","Bangladesh",2007,150448339,"Asia",64.062,1391.253792
"109","Belgium",1952,8730405,"Europe",68,8343.105127
"110","Belgium",1957,8989111,"Europe",69.24,9714.960623
"111","Belgium",1962,9218400,"Europe",70.25,10991.20676
"112","Belgium",1967,9556500,"Europe",70.94,13149.04119
"113","Belgium",1972,9709100,"Europe",71.44,16672.14356
"114","Belgium",1977,9821800,"Europe",72.8,19117.97448
"115","Belgium",1982,9856303,"Europe",73.93,20979.84589
"116","Belgium",1987,9870200,"Europe",75.35,22525.56308
"117","Belgium",1992,10045622,"Europe",76.46,25575.57069
"118","Belgium",1997,10199787,"Europe",77.53,27561.19663
"119","Belgium",2002,10311970,"Europe",78.32,30485.88375
"120","Belgium",2007,10392226,"Europe",79.441,33692.60508
"121","Benin",1952,1738315,"Africa",38.223,1062.7522
"122","Benin",1957,1925173,"Africa",40.358,959.6010805
"123","Benin",1962,2151895,"Africa",42.618,949.4990641
"124","Benin",1967,2427334,"Africa",44.885,1035.831411
"125","Benin",1972,2761407,"Africa",47.014,1085.796879
"126","Benin",1977,3168267,"Africa",49.19,1029.161251
"127","Benin",1982,3641603,"Africa",50.904,1277.897616
"128","Benin",1987,4243788,"Africa",52.337,1225.85601
"129","Benin",1992,4981671,"Africa",53.919,1191.207681
"130","Benin",1997,6066080,"Africa",54.777,1232.975292
"131","Benin",2002,7026113,"Africa",54.406,1372.877931
"132","Benin",2007,8078314,"Africa",56.728,1441.284873
"133","Bolivia",1952,2883315,"Americas",40.414,2677.326347
"134","Bolivia",1957,3211738,"Americas",41.89,2127.686326
"135","Bolivia",1962,3593918,"Americas",43.428,2180.972546
"136","Bolivia",1967,4040665,"Americas",45.032,2586.886053
"137","Bolivia",1972,4565872,"Americas",46.714,2980.331339
"138","Bolivia",1977,5079716,"Americas",50.023,3548.097832
"139","Bolivia",1982,5642224,"Americas",53.859,3156.510452
"140","Bolivia",1987,6156369,"Americas",57.251,2753.69149
"141","Bolivia",1992,6893451,"Americas",59.957,2961.699694
"142","Bolivia",1997,7693188,"Americas",62.05,3326.143191
"143","Bolivia",2002,8445134,"Americas",63.883,3413.26269
"144","Bolivia",2007,9119152,"Americas",65.554,3822.137084
"145","Bosnia and Herzegovina",1952,2791000,"Europe",53.82,973.5331948
"146","Bosnia and Herzegovina",1957,3076000,"Europe",58.45,1353.989176
"147","Bosnia and Herzegovina",1962,3349000,"Europe",61.93,1709.683679
"148","Bosnia and Herzegovina",1967,3585000,"Europe",64.79,2172.352423
"149","Bosnia and Herzegovina",1972,3819000,"Europe",67.45,2860.16975
"150","Bosnia and Herzegovina",1977,4086000,"Europe",69.86,3528.481305
"151","Bosnia and Herzegovina",1982,4172693,"Europe",70.69,4126.613157
"152","Bosnia and Herzegovina",1987,4338977,"Europe",71.14,4314.114757
"153","Bosnia and Herzegovina",1992,4256013,"Europe",72.178,2546.781445
"154","Bosnia and Herzegovina",1997,3607000,"Europe",73.244,4766.355904
"155","Bosnia and Herzegovina",2002,4165416,"Europe",74.09,6018.975239
"156","Bosnia and Herzegovina",2007,4552198,"Europe",74.852,7446.298803
"157","Botswana",1952,442308,"Africa",47.622,851.2411407
"158","Botswana",1957,474639,"Africa",49.618,918.2325349
"159","Botswana",1962,512764,"Africa",51.52,983.6539764
"160","Botswana",1967,553541,"Africa",53.298,1214.709294
"161","Botswana",1972,619351,"Africa",56.024,2263.611114
"162","Botswana",1977,781472,"Africa",59.319,3214.857818
"163","Botswana",1982,970347,"Africa",61.484,4551.14215
"164","Botswana",1987,1151184,"Africa",63.622,6205.88385
"165","Botswana",1992,1342614,"Africa",62.745,7954.111645
"166","Botswana",1997,1536536,"Africa",52.556,8647.142313
"167","Botswana",2002,1630347,"Africa",46.634,11003.60508
"168","Botswana",2007,1639131,"Africa",50.728,12569.85177
"169","Brazil",1952,56602560,"Americas",50.917,2108.944355
"170","Brazil",1957,65551171,"Americas",53.285,2487.365989
"171","Brazil",1962,76039390,"Americas",55.665,3336.585802
"172","Brazil",1967,88049823,"Americas",57.632,3429.864357
"173","Brazil",1972,100840058,"Americas",59.504,4985.711467
"174","Brazil",1977,114313951,"Americas",61.489,6660.118654
"175","Brazil",1982,128962939,"Americas",63.336,7030.835878
"176","Brazil",1987,142938076,"Americas",65.205,7807.095818
"177","Brazil",1992,155975974,"Americas",67.057,6950.283021
"178","Brazil",1997,168546719,"Americas",69.388,7957.980824
"179","Brazil",2002,179914212,"Americas",71.006,8131.212843
"180","Brazil",2007,190010647,"Americas",72.39,9065.800825
"181","Bulgaria",1952,7274900,"Europe",59.6,2444.286648
"182","Bulgaria",1957,7651254,"Europe",66.61,3008.670727
"183","Bulgaria",1962,8012946,"Europe",69.51,4254.337839
"184","Bulgaria",1967,8310226,"Europe",70.42,5577.0028
"185","Bulgaria",1972,8576200,"Europe",70.9,6597.494398
"186","Bulgaria",1977,8797022,"Europe",70.81,7612.240438
"187","Bulgaria",1982,8892098,"Europe",71.08,8224.191647
"188","Bulgaria",1987,8971958,"Europe",71.34,8239.854824
"189","Bulgaria",1992,8658506,"Europe",71.19,6302.623438
"190","Bulgaria",1997,8066057,"Europe",70.32,5970.38876
"191","Bulgaria",2002,7661799,"Europe",72.14,7696.777725
"192","Bulgaria",2007,7322858,"Europe",73.005,10680.79282
"193","Burkina Faso",1952,4469979,"Africa",31.975,543.2552413
"194","Burkina Faso",1957,4713416,"Africa",34.906,617.1834648
"195","Burkina Faso",1962,4919632,"Africa",37.814,722.5120206
"196","Burkina Faso",1967,5127935,"Africa",40.697,794.8265597
"197","Burkina Faso",1972,5433886,"Africa",43.591,854.7359763
"198","Burkina Faso",1977,5889574,"Africa",46.137,743.3870368
"199","Burkina Faso",1982,6634596,"Africa",48.122,807.1985855
"200","Burkina Faso",1987,7586551,"Africa",49.557,912.0631417
"201","Burkina Faso",1992,8878303,"Africa",50.26,931.7527731
"202","Burkina Faso",1997,10352843,"Africa",50.324,946.2949618
"203","Burkina Faso",2002,12251209,"Africa",50.65,1037.645221
"204","Burkina Faso",2007,14326203,"Africa",52.295,1217.032994
"205","Burundi",1952,2445618,"Africa",39.031,339.2964587
"206","Burundi",1957,2667518,"Africa",40.533,379.5646281
"207","Burundi",1962,2961915,"Africa",42.045,355.2032273
"208","Burundi",1967,3330989,"Africa",43.548,412.9775136
"209","Burundi",1972,3529983,"Africa",44.057,464.0995039
"210","Burundi",1977,3834415,"Africa",45.91,556.1032651
"211","Burundi",1982,4580410,"Africa",47.471,559.603231
"212","Burundi",1987,5126023,"Africa",48.211,621.8188189
"213","Burundi",1992,5809236,"Africa",44.736,631.6998778
"214","Burundi",1997,6121610,"Africa",45.326,463.1151478
"215","Burundi",2002,7021078,"Africa",47.36,446.4035126
"216","Burundi",2007,8390505,"Africa",49.58,430.0706916
"217","Cambodia",1952,4693836,"Asia",39.417,368.4692856
"218","Cambodia",1957,5322536,"Asia",41.366,434.0383364
"219","Cambodia",1962,6083619,"Asia",43.415,496.9136476
"220","Cambodia",1967,6960067,"Asia",45.415,523.4323142
"221","Cambodia",1972,7450606,"Asia",40.317,421.6240257
"222","Cambodia",1977,6978607,"Asia",31.22,524.9721832
"223","Cambodia",1982,7272485,"Asia",50.957,624.4754784
"224","Cambodia",1987,8371791,"Asia",53.914,683.8955732
"225","Cambodia",1992,10150094,"Asia",55.803,682.3031755
"226","Cambodia",1997,11782962,"Asia",56.534,734.28517
"227","Cambodia",2002,12926707,"Asia",56.752,896.2260153
"228","Cambodia",2007,14131858,"Asia",59.723,1713.778686
"229","Cameroon",1952,5009067,"Africa",38.523,1172.667655
"230","Cameroon",1957,5359923,"Africa",40.428,1313.048099
"231","Cameroon",1962,5793633,"Africa",42.643,1399.607441
"232","Cameroon",1967,6335506,"Africa",44.799,1508.453148
"233","Cameroon",1972,7021028,"Africa",47.049,1684.146528
"234","Cameroon",1977,7959865,"Africa",49.355,1783.432873
"235","Cameroon",1982,9250831,"Africa",52.961,2367.983282
"236","Cameroon",1987,10780667,"Africa",54.985,2602.664206
"237","Cameroon",1992,12467171,"Africa",54.314,1793.163278
"238","Cameroon",1997,14195809,"Africa",52.199,1694.337469
"239","Cameroon",2002,15929988,"Africa",49.856,1934.011449
"240","Cameroon",2007,17696293,"Africa",50.43,2042.09524
"241","Canada",1952,14785584,"Americas",68.75,11367.16112
"242","Canada",1957,17010154,"Americas",69.96,12489.95006
"243","Canada",1962,18985849,"Americas",71.3,13462.48555
"244","Canada",1967,20819767,"Americas",72.13,16076.58803
"245","Canada",1972,22284500,"Americas",72.88,18970.57086
"246","Canada",1977,23796400,"Americas",74.21,22090.88306
"247","Canada",1982,25201900,"Americas",75.76,22898.79214
"248","Canada",1987,26549700,"Americas",76.86,26626.51503
"249","Canada",1992,28523502,"Americas",77.95,26342.88426
"250","Canada",1997,30305843,"Americas",78.61,28954.92589
"251","Canada",2002,31902268,"Americas",79.77,33328.96507
"252","Canada",2007,33390141,"Americas",80.653,36319.23501
"253","Central African Republic",1952,1291695,"Africa",35.463,1071.310713
"254","Central African Republic",1957,1392284,"Africa",37.464,1190.844328
"255","Central African Republic",1962,1523478,"Africa",39.475,1193.068753
"256","Central African Republic",1967,1733638,"Africa",41.478,1136.056615
"257","Central African Republic",1972,1927260,"Africa",43.457,1070.013275
"258","Central African Republic",1977,2167533,"Africa",46.775,1109.374338
"259","Central African Republic",1982,2476971,"Africa",48.295,956.7529907
"260","Central African Republic",1987,2840009,"Africa",50.485,844.8763504
"261","Central African Republic",1992,3265124,"Africa",49.396,747.9055252
"262","Central African Republic",1997,3696513,"Africa",46.066,740.5063317
"263","Central African Republic",2002,4048013,"Africa",43.308,738.6906068
"264","Central African Republic",2007,4369038,"Africa",44.741,706.016537
"265","Chad",1952,2682462,"Africa",38.092,1178.665927
"266","Chad",1957,2894855,"Africa",39.881,1308.495577
"267","Chad",1962,3150417,"Africa",41.716,1389.817618
"268","Chad",1967,3495967,"Africa",43.601,1196.810565
"269","Chad",1972,3899068,"Africa",45.569,1104.103987
"270","Chad",1977,4388260,"Africa",47.383,1133.98495
"271","Chad",1982,4875118,"Africa",49.517,797.9081006
"272","Chad",1987,5498955,"Africa",51.051,952.386129
"273","Chad",1992,6429417,"Africa",51.724,1058.0643
"274","Chad",1997,7562011,"Africa",51.573,1004.961353
"275","Chad",2002,8835739,"Africa",50.525,1156.18186
"276","Chad",2007,10238807,"Africa",50.651,1704.063724
"277","Chile",1952,6377619,"Americas",54.745,3939.978789
"278","Chile",1957,7048426,"Americas",56.074,4315.622723
"279","Chile",1962,7961258,"Americas",57.924,4519.094331
"280","Chile",1967,8858908,"Americas",60.523,5106.654313
"281","Chile",1972,9717524,"Americas",63.441,5494.024437
"282","Chile",1977,10599793,"Americas",67.052,4756.763836
"283","Chile",1982,11487112,"Americas",70.565,5095.665738
"284","Chile",1987,12463354,"Americas",72.492,5547.063754
"285","Chile",1992,13572994,"Americas",74.126,7596.125964
"286","Chile",1997,14599929,"Americas",75.816,10118.05318
"287","Chile",2002,15497046,"Americas",77.86,10778.78385
"288","Chile",2007,16284741,"Americas",78.553,13171.63885
"289","China",1952,556263527.999989,"Asia",44,400.448610699994
"290","China",1957,637408000,"Asia",50.54896,575.9870009
"291","China",1962,665770000,"Asia",44.50136,487.6740183
"292","China",1967,754550000,"Asia",58.38112,612.7056934
"293","China",1972,862030000,"Asia",63.11888,676.9000921
"294","China",1977,943455000,"Asia",63.96736,741.2374699
"295","China",1982,1000281000,"Asia",65.525,962.4213805
"296","China",1987,1084035000,"Asia",67.274,1378.904018
"297","China",1992,1164970000,"Asia",68.69,1655.784158
"298","China",1997,1230075000,"Asia",70.426,2289.234136
"299","China",2002,1280400000,"Asia",72.028,3119.280896
"300","China",2007,1318683096,"Asia",72.961,4959.114854
"301","Colombia",1952,12350771,"Americas",50.643,2144.115096
"302","Colombia",1957,14485993,"Americas",55.118,2323.805581
"303","Colombia",1962,17009885,"Americas",57.863,2492.351109
"304","Colombia",1967,19764027,"Americas",59.963,2678.729839
"305","Colombia",1972,22542890,"Americas",61.623,3264.660041
"306","Colombia",1977,25094412,"Americas",63.837,3815.80787
"307","Colombia",1982,27764644,"Americas",66.653,4397.575659
"308","Colombia",1987,30964245,"Americas",67.768,4903.2191
"309","Colombia",1992,34202721,"Americas",68.421,5444.648617
"310","Colombia",1997,37657830,"Americas",70.313,6117.361746
"311","Colombia",2002,41008227,"Americas",71.682,5755.259962
"312","Colombia",2007,44227550,"Americas",72.889,7006.580419
"313","Comoros",1952,153936,"Africa",40.715,1102.990936
"314","Comoros",1957,170928,"Africa",42.46,1211.148548
"315","Comoros",1962,191689,"Africa",44.467,1406.648278
"316","Comoros",1967,217378,"Africa",46.472,1876.029643
"317","Comoros",1972,250027,"Africa",48.944,1937.577675
"318","Comoros",1977,304739,"Africa",50.939,1172.603047
"319","Comoros",1982,348643,"Africa",52.933,1267.100083
"320","Comoros",1987,395114,"Africa",54.926,1315.980812
"321","Comoros",1992,454429,"Africa",57.939,1246.90737
"322","Comoros",1997,527982,"Africa",60.66,1173.618235
"323","Comoros",2002,614382,"Africa",62.974,1075.811558
"324","Comoros",2007,710960,"Africa",65.152,986.1478792
"325","Congo Dem. Rep.",1952,14100005,"Africa",39.143,780.5423257
"326","Congo Dem. Rep.",1957,15577932,"Africa",40.652,905.8602303
"327","Congo Dem. Rep.",1962,17486434,"Africa",42.122,896.3146335
"328","Congo Dem. Rep.",1967,19941073,"Africa",44.056,861.5932424
"329","Congo Dem. Rep.",1972,23007669,"Africa",45.989,904.8960685
"330","Congo Dem. Rep.",1977,26480870,"Africa",47.804,795.757282
"331","Congo Dem. Rep.",1982,30646495,"Africa",47.784,673.7478181
"332","Congo Dem. Rep.",1987,35481645,"Africa",47.412,672.774812
"333","Congo Dem. Rep.",1992,41672143,"Africa",45.548,457.7191807
"334","Congo Dem. Rep.",1997,47798986,"Africa",42.587,312.188423
"335","Congo Dem. Rep.",2002,55379852,"Africa",44.966,241.1658765
"336","Congo Dem. Rep.",2007,64606759,"Africa",46.462,277.5518587
"337","Congo Rep.",1952,854885,"Africa",42.111,2125.621418
"338","Congo Rep.",1957,940458,"Africa",45.053,2315.056572
"339","Congo Rep.",1962,1047924,"Africa",48.435,2464.783157
"340","Congo Rep.",1967,1179760,"Africa",52.04,2677.939642
"341","Congo Rep.",1972,1340458,"Africa",54.907,3213.152683
"342","Congo Rep.",1977,1536769,"Africa",55.625,3259.178978
"343","Congo Rep.",1982,1774735,"Africa",56.695,4879.507522
"344","Congo Rep.",1987,2064095,"Africa",57.47,4201.194937
"345","Congo Rep.",1992,2409073,"Africa",56.433,4016.239529
"346","Congo Rep.",1997,2800947,"Africa",52.962,3484.164376
"347","Congo Rep.",2002,3328795,"Africa",52.97,3484.06197
"348","Congo Rep.",2007,3800610,"Africa",55.322,3632.557798
"349","Costa Rica",1952,926317,"Americas",57.206,2627.009471
"350","Costa Rica",1957,1112300,"Americas",60.026,2990.010802
"351","Costa Rica",1962,1345187,"Americas",62.842,3460.937025
"352","Costa Rica",1967,1588717,"Americas",65.424,4161.727834
"353","Costa Rica",1972,1834796,"Americas",67.849,5118.146939
"354","Costa Rica",1977,2108457,"Americas",70.75,5926.876967
"355","Costa Rica",1982,2424367,"Americas",73.45,5262.734751
"356","Costa Rica",1987,2799811,"Americas",74.752,5629.915318
"357","Costa Rica",1992,3173216,"Americas",75.713,6160.416317
"358","Costa Rica",1997,3518107,"Americas",77.26,6677.045314
"359","Costa Rica",2002,3834934,"Americas",78.123,7723.447195
"360","Costa Rica",2007,4133884,"Americas",78.782,9645.06142
"361","Cote d'Ivoire",1952,2977019,"Africa",40.477,1388.594732
"362","Cote d'Ivoire",1957,3300000,"Africa",42.469,1500.895925
"363","Cote d'Ivoire",1962,3832408,"Africa",44.93,1728.869428
"364","Cote d'Ivoire",1967,4744870,"Africa",47.35,2052.050473
"365","Cote d'Ivoire",1972,6071696,"Africa",49.801,2378.201111
"366","Cote d'Ivoire",1977,7459574,"Africa",52.374,2517.736547
"367","Cote d'Ivoire",1982,9025951,"Africa",53.983,2602.710169
"368","Cote d'Ivoire",1987,10761098,"Africa",54.655,2156.956069
"369","Cote d'Ivoire",1992,12772596,"Africa",52.044,1648.073791
"370","Cote d'Ivoire",1997,14625967,"Africa",47.991,1786.265407
"371","Cote d'Ivoire",2002,16252726,"Africa",46.832,1648.800823
"372","Cote d'Ivoire",2007,18013409,"Africa",48.328,1544.750112
"373","Croatia",1952,3882229,"Europe",61.21,3119.23652
"374","Croatia",1957,3991242,"Europe",64.77,4338.231617
"375","Croatia",1962,4076557,"Europe",67.13,5477.890018
"376","Croatia",1967,4174366,"Europe",68.5,6960.297861
"377","Croatia",1972,4225310,"Europe",69.61,9164.090127
"378","Croatia",1977,4318673,"Europe",70.64,11305.38517
"379","Croatia",1982,4413368,"Europe",70.46,13221.82184
"380","Croatia",1987,4484310,"Europe",71.52,13822.58394
"381","Croatia",1992,4494013,"Europe",72.527,8447.794873
"382","Croatia",1997,4444595,"Europe",73.68,9875.604515
"383","Croatia",2002,4481020,"Europe",74.876,11628.38895
"384","Croatia",2007,4493312,"Europe",75.748,14619.22272
"385","Cuba",1952,6007797,"Americas",59.421,5586.53878
"386","Cuba",1957,6640752,"Americas",62.325,6092.174359
"387","Cuba",1962,7254373,"Americas",65.246,5180.75591
"388","Cuba",1967,8139332,"Americas",68.29,5690.268015
"389","Cuba",1972,8831348,"Americas",70.723,5305.445256
"390","Cuba",1977,9537988,"Americas",72.649,6380.494966
"391","Cuba",1982,9789224,"Americas",73.717,7316.918107
"392","Cuba",1987,10239839,"Americas",74.174,7532.924763
"393","Cuba",1992,10723260,"Americas",74.414,5592.843963
"394","Cuba",1997,10983007,"Americas",76.151,5431.990415
"395","Cuba",2002,11226999,"Americas",77.158,6340.646683
"396","Cuba",2007,11416987,"Americas",78.273,8948.102923
"397","Czech Republic",1952,9125183,"Europe",66.87,6876.14025
"398","Czech Republic",1957,9513758,"Europe",69.03,8256.343918
"399","Czech Republic",1962,9620282,"Europe",69.9,10136.86713
"400","Czech Republic",1967,9835109,"Europe",70.38,11399.44489
"401","Czech Republic",1972,9862158,"Europe",70.29,13108.4536
"402","Czech Republic",1977,10161915,"Europe",70.71,14800.16062
"403","Czech Republic",1982,10303704,"Europe",70.96,15377.22855
"404","Czech Republic",1987,10311597,"Europe",71.58,16310.4434
"405","Czech Republic",1992,10315702,"Europe",72.4,14297.02122
"406","Czech Republic",1997,10300707,"Europe",74.01,16048.51424
"407","Czech Republic",2002,10256295,"Europe",75.51,17596.21022
"408","Czech Republic",2007,10228744,"Europe",76.486,22833.30851
"409","Denmark",1952,4334000,"Europe",70.78,9692.385245
"410","Denmark",1957,4487831,"Europe",71.81,11099.65935
"411","Denmark",1962,4646899,"Europe",72.35,13583.31351
"412","Denmark",1967,4838800,"Europe",72.96,15937.21123
"413","Denmark",1972,4991596,"Europe",73.47,18866.20721
"414","Denmark",1977,5088419,"Europe",74.69,20422.9015
"415","Denmark",1982,5117810,"Europe",74.63,21688.04048
"416","Denmark",1987,5127024,"Europe",74.8,25116.17581
"417","Denmark",1992,5171393,"Europe",75.33,26406.73985
"418","Denmark",1997,5283663,"Europe",76.11,29804.34567
"419","Denmark",2002,5374693,"Europe",77.18,32166.50006
"420","Denmark",2007,5468120,"Europe",78.332,35278.41874
"421","Djibouti",1952,63149,"Africa",34.812,2669.529475
"422","Djibouti",1957,71851,"Africa",37.328,2864.969076
"423","Djibouti",1962,89898,"Africa",39.693,3020.989263
"424","Djibouti",1967,127617,"Africa",42.074,3020.050513
"425","Djibouti",1972,178848,"Africa",44.366,3694.212352
"426","Djibouti",1977,228694,"Africa",46.519,3081.761022
"427","Djibouti",1982,305991,"Africa",48.812,2879.468067
"428","Djibouti",1987,311025,"Africa",50.04,2880.102568
"429","Djibouti",1992,384156,"Africa",51.604,2377.156192
"430","Djibouti",1997,417908,"Africa",53.157,1895.016984
"431","Djibouti",2002,447416,"Africa",53.373,1908.260867
"432","Djibouti",2007,496374,"Africa",54.791,2082.481567
"433","Dominican Republic",1952,2491346,"Americas",45.928,1397.717137
"434","Dominican Republic",1957,2923186,"Americas",49.828,1544.402995
"435","Dominican Republic",1962,3453434,"Americas",53.459,1662.137359
"436","Dominican Republic",1967,4049146,"Americas",56.751,1653.723003
"437","Dominican Republic",1972,4671329,"Americas",59.631,2189.874499
"438","Dominican Republic",1977,5302800,"Americas",61.788,2681.9889
"439","Dominican Republic",1982,5968349,"Americas",63.727,2861.092386
"440","Dominican Republic",1987,6655297,"Americas",66.046,2899.842175
"441","Dominican Republic",1992,7351181,"Americas",68.457,3044.214214
"442","Dominican Republic",1997,7992357,"Americas",69.957,3614.101285
"443","Dominican Republic",2002,8650322,"Americas",70.847,4563.808154
"444","Dominican Republic",2007,9319622,"Americas",72.235,6025.374752
"445","Ecuador",1952,3548753,"Americas",48.357,3522.110717
"446","Ecuador",1957,4058385,"Americas",51.356,3780.546651
"447","Ecuador",1962,4681707,"Americas",54.64,4086.114078
"448","Ecuador",1967,5432424,"Americas",56.678,4579.074215
"449","Ecuador",1972,6298651,"Americas",58.796,5280.99471
"450","Ecuador",1977,7278866,"Americas",61.31,6679.62326
"451","Ecuador",1982,8365850,"Americas",64.342,7213.791267
